MTU (CET/CEST),Area,Total Generation Forecast (MW),Total Actual Generation (MW)
01/01/2025 15:15:00 - 01/01/2025 15:30:00,BZN|NL,11127.88,11389.46
01/01/2025 15:30:00 - 01/01/2025 15:45:00,BZN|NL,11147.41,11337.65
01/01/2025 15:45:00 - 01/01/2025 16:00:00,BZN|NL,11225.13,11575.31
01/01/2025 16:00:00 - 01/01/2025 16:15:00,BZN|NL,11368.63,11759.67
01/01/2025 16:15:00 - 01/01/2025 16:30:00,BZN|NL,11423.75,12032.1
01/01/2025 16:30:00 - 01/01/2025 16:45:00,BZN|NL,11612.94,12252.88
01/01/2025 16:45:00 - 01/01/2025 17:00:00,BZN|NL,11762.63,12493.14
01/01/2025 17:00:00 - 01/01/2025 17:15:00,BZN|NL,11984.11,12461.21
01/01/2025 17:15:00 - 01/01/2025 17:30:00,BZN|NL,12144.34,12848.97
01/01/2025 17:30:00 - 01/01/2025 17:45:00,BZN|NL,12170.47,12696.67
01/01/2025 17:45:00 - 01/01/2025 18:00:00,BZN|NL,12216.25,12990.67
01/01/2025 18:00:00 - 01/01/2025 18:15:00,BZN|NL,12346.98,13033.75
01/01/2025 18:15:00 - 01/01/2025 18:30:00,BZN|NL,12345.46,13059.72
01/01/2025 18:30:00 - 01/01/2025 18:45:00,BZN|NL,12297.43,12948.88
01/01/2025 18:45:00 - 01/01/2025 19:00:00,BZN|NL,12317.9,12765.75
01/01/2025 19:00:00 - 01/01/2025 19:15:00,BZN|NL,12225.86,12871.94
01/01/2025 19:15:00 - 01/01/2025 19:30:00,BZN|NL,12100.06,12638.33
01/01/2025 19:30:00 - 01/01/2025 19:45:00,BZN|NL,12007.02,12644.43
01/01/2025 19:45:00 - 01/01/2025 20:00:00,BZN|NL,11987.44,12650.62
01/01/2025 20:00:00 - 01/01/2025 20:15:00,BZN|NL,11956.72,12277.22
01/01/2025 20:15:00 - 01/01/2025 20:30:00,BZN|NL,11856.51,12267.05
01/01/2025 20:30:00 - 01/01/2025 20:45:00,BZN|NL,11684.35,12107.7
01/01/2025 20:45:00 - 01/01/2025 21:00:00,BZN|NL,11480.7,12030.79
01/01/2025 21:00:00 - 01/01/2025 21:15:00,BZN|NL,11344.25,11665.5
01/01/2025 21:15:00 - 01/01/2025 21:30:00,BZN|NL,11225.1,11602.63
01/01/2025 21:30:00 - 01/01/2025 21:45:00,BZN|NL,11058.41,11307.01
01/01/2025 21:45:00 - 01/01/2025 22:00:00,BZN|NL,10866.92,11423.02
01/01/2025 22:00:00 - 01/01/2025 22:15:00,BZN|NL,11123.29,11495.25
01/01/2025 22:15:00 - 01/01/2025 22:30:00,BZN|NL,11101.04,11504.65
01/01/2025 22:30:00 - 01/01/2025 22:45:00,BZN|NL,11078.94,11239.4
01/01/2025 22:45:00 - 01/01/2025 23:00:00,BZN|NL,10951.2,11269.07
01/01/2025 23:00:00 - 01/01/2025 23:15:00,BZN|NL,10781.04,11229.6
01/01/2025 23:15:00 - 01/01/2025 23:30:00,BZN|NL,10568.43,11099.63
01/01/2025 23:30:00 - 01/01/2025 23:45:00,BZN|NL,10477.16,10976.44
01/01/2025 23:45:00 - 02/01/2025 00:00:00,BZN|NL,10350.82,10782.99
02/01/2025 00:00:00 - 02/01/2025 00:15:00,BZN|NL,10442.47,10422.55
02/01/2025 00:15:00 - 02/01/2025 00:30:00,BZN|NL,10297.2,10600.48
02/01/2025 00:30:00 - 02/01/2025 00:45:00,BZN|NL,10227.27,10321.53
02/01/2025 00:45:00 - 02/01/2025 01:00:00,BZN|NL,10105.58,10271.24
02/01/2025 01:00:00 - 02/01/2025 01:15:00,BZN|NL,10013.41,9897.56
02/01/2025 01:15:00 - 02/01/2025 01:30:00,BZN|NL,10003.45,9866.8
02/01/2025 01:30:00 - 02/01/2025 01:45:00,BZN|NL,9973.21,9409.77
02/01/2025 01:45:00 - 02/01/2025 02:00:00,BZN|NL,9907.08,9500.78
02/01/2025 02:00:00 - 02/01/2025 02:15:00,BZN|NL,9917.47,9323.61
02/01/2025 02:15:00 - 02/01/2025 02:30:00,BZN|NL,9861.8,9247.29
02/01/2025 02:30:00 - 02/01/2025 02:45:00,BZN|NL,9815.63,9160.01
02/01/2025 02:45:00 - 02/01/2025 03:00:00,BZN|NL,9805.71,8829.36
02/01/2025 03:00:00 - 02/01/2025 03:15:00,BZN|NL,9806.04,8700.26
02/01/2025 03:15:00 - 02/01/2025 03:30:00,BZN|NL,9750.05,8474.82
02/01/2025 03:30:00 - 02/01/2025 03:45:00,BZN|NL,9697.16,8614.63
02/01/2025 03:45:00 - 02/01/2025 04:00:00,BZN|NL,9714.38,8487.75
02/01/2025 04:00:00 - 02/01/2025 04:15:00,BZN|NL,9782.01,8749.8
02/01/2025 04:15:00 - 02/01/2025 04:30:00,BZN|NL,9820.53,8677.59
02/01/2025 04:30:00 - 02/01/2025 04:45:00,BZN|NL,9816.11,8513.69
02/01/2025 04:45:00 - 02/01/2025 05:00:00,BZN|NL,9874.61,8524.95
02/01/2025 05:00:00 - 02/01/2025 05:15:00,BZN|NL,9837.88,8841.15
02/01/2025 05:15:00 - 02/01/2025 05:30:00,BZN|NL,9977.2,9039.85
02/01/2025 05:30:00 - 02/01/2025 05:45:00,BZN|NL,9990.43,9198.55
02/01/2025 05:45:00 - 02/01/2025 06:00:00,BZN|NL,10059.87,9546.87
02/01/2025 06:00:00 - 02/01/2025 06:15:00,BZN|NL,9866.56,9917.3
