"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2026 13:30:00 - 01/01/2026 13:45:00","BZN|NL","Without Sequence","41.60","",""
"01/01/2026 13:45:00 - 01/01/2026 14:00:00","BZN|NL","Without Sequence","42.03","",""
"01/01/2026 14:00:00 - 01/01/2026 14:15:00","BZN|NL","Without Sequence","30.10","",""
"01/01/2026 14:15:00 - 01/01/2026 14:30:00","BZN|NL","Without Sequence","37.70","",""
"01/01/2026 14:30:00 - 01/01/2026 14:45:00","BZN|NL","Without Sequence","37.70","",""
"01/01/2026 14:45:00 - 01/01/2026 15:00:00","BZN|NL","Without Sequence","45.72","",""
"01/01/2026 15:00:00 - 01/01/2026 15:15:00","BZN|NL","Without Sequence","41.16","",""
"01/01/2026 15:15:00 - 01/01/2026 15:30:00","BZN|NL","Without Sequence","51.04","",""
"01/01/2026 15:30:00 - 01/01/2026 15:45:00","BZN|NL","Without Sequence","61.88","",""
"01/01/2026 15:45:00 - 01/01/2026 16:00:00","BZN|NL","Without Sequence","65.13","",""
"01/01/2026 16:00:00 - 01/01/2026 16:15:00","BZN|NL","Without Sequence","63.07","",""
"01/01/2026 16:15:00 - 01/01/2026 16:30:00","BZN|NL","Without Sequence","66.94","",""
"01/01/2026 16:30:00 - 01/01/2026 16:45:00","BZN|NL","Without Sequence","66.94","",""
"01/01/2026 16:45:00 - 01/01/2026 17:00:00","BZN|NL","Without Sequence","82.12","",""
"01/01/2026 17:00:00 - 01/01/2026 17:15:00","BZN|NL","Without Sequence","69.90","",""
"01/01/2026 17:15:00 - 01/01/2026 17:30:00","BZN|NL","Without Sequence","84.40","",""
"01/01/2026 17:30:00 - 01/01/2026 17:45:00","BZN|NL","Without Sequence","91.25","",""
"01/01/2026 17:45:00 - 01/01/2026 18:00:00","BZN|NL","Without Sequence","96.84","",""
"01/01/2026 18:00:00 - 01/01/2026 18:15:00","BZN|NL","Without Sequence","80.00","",""
"01/01/2026 18:15:00 - 01/01/2026 18:30:00","BZN|NL","Without Sequence","80.11","",""
"01/01/2026 18:30:00 - 01/01/2026 18:45:00","BZN|NL","Without Sequence","72.46","",""
"01/01/2026 18:45:00 - 01/01/2026 19:00:00","BZN|NL","Without Sequence","79.27","",""
"01/01/2026 19:00:00 - 01/01/2026 19:15:00","BZN|NL","Without Sequence","77.00","",""
"01/01/2026 19:15:00 - 01/01/2026 19:30:00","BZN|NL","Without Sequence","79.17","",""
"01/01/2026 19:30:00 - 01/01/2026 19:45:00","BZN|NL","Without Sequence","69.27","",""
"01/01/2026 19:45:00 - 01/01/2026 20:00:00","BZN|NL","Without Sequence","69.76","",""
"01/01/2026 20:00:00 - 01/01/2026 20:15:00","BZN|NL","Without Sequence","68.78","",""
"01/01/2026 20:15:00 - 01/01/2026 20:30:00","BZN|NL","Without Sequence","68.45","",""
"01/01/2026 20:30:00 - 01/01/2026 20:45:00","BZN|NL","Without Sequence","68.35","",""
"01/01/2026 20:45:00 - 01/01/2026 21:00:00","BZN|NL","Without Sequence","64.71","",""
"01/01/2026 21:00:00 - 01/01/2026 21:15:00","BZN|NL","Without Sequence","64.13","",""
"01/01/2026 21:15:00 - 01/01/2026 21:30:00","BZN|NL","Without Sequence","62.33","",""
"01/01/2026 21:30:00 - 01/01/2026 21:45:00","BZN|NL","Without Sequence","61.83","",""
"01/01/2026 21:45:00 - 01/01/2026 22:00:00","BZN|NL","Without Sequence","56.51","",""
"01/01/2026 22:00:00 - 01/01/2026 22:15:00","BZN|NL","Without Sequence","55.10","",""
"01/01/2026 22:15:00 - 01/01/2026 22:30:00","BZN|NL","Without Sequence","57.63","",""
"01/01/2026 22:30:00 - 01/01/2026 22:45:00","BZN|NL","Without Sequence","68.99","",""
"01/01/2026 22:45:00 - 01/01/2026 23:00:00","BZN|NL","Without Sequence","65.50","",""
"01/01/2026 23:00:00 - 01/01/2026 23:15:00","BZN|NL","Without Sequence","52.18","",""
"01/01/2026 23:15:00 - 01/01/2026 23:30:00","BZN|NL","Without Sequence","50.45","",""
"01/01/2026 23:30:00 - 01/01/2026 23:45:00","BZN|NL","Without Sequence","45.17","",""
"01/01/2026 23:45:00 - 02/01/2026 00:00:00","BZN|NL","Without Sequence","45.17","",""
"02/01/2026 00:00:00 - 02/01/2026 00:15:00","BZN|NL","Without Sequence","30.46","",""
"02/01/2026 00:15:00 - 02/01/2026 00:30:00","BZN|NL","Without Sequence","39.95","",""
"02/01/2026 00:30:00 - 02/01/2026 00:45:00","BZN|NL","Without Sequence","27.00","",""
"02/01/2026 00:45:00 - 02/01/2026 01:00:00","BZN|NL","Without Sequence","14.99","",""
"02/01/2026 01:00:00 - 02/01/2026 01:15:00","BZN|NL","Without Sequence","25.30","",""
"02/01/2026 01:15:00 - 02/01/2026 01:30:00","BZN|NL","Without Sequence","18.22","",""
"02/01/2026 01:30:00 - 02/01/2026 01:45:00","BZN|NL","Without Sequence","13.04","",""
