MTU (CET/CEST),Area,Day-ahead onshore wind (MW),Intraday onshore wind (MW),Actual onshore wind (MW)
01/01/2025 14:45:00 - 01/01/2025 15:00:00,BZN|NL,4560,4560,2161.29
01/01/2025 15:00:00 - 01/01/2025 15:15:00,BZN|NL,4560,4560,2270.04
01/01/2025 15:15:00 - 01/01/2025 15:30:00,BZN|NL,4594,4594,2317.29
01/01/2025 15:30:00 - 01/01/2025 15:45:00,BZN|NL,4658,4658,2386.1
01/01/2025 15:45:00 - 01/01/2025 16:00:00,BZN|NL,4721,4721,2373.04
01/01/2025 16:00:00 - 01/01/2025 16:15:00,BZN|NL,4785,4785,2352.64
01/01/2025 16:15:00 - 01/01/2025 16:30:00,BZN|NL,4808,4808,2314.42
01/01/2025 16:30:00 - 01/01/2025 16:45:00,BZN|NL,4785,4785,2367.18
01/01/2025 16:45:00 - 01/01/2025 17:00:00,BZN|NL,4762,4762,2351.14
01/01/2025 17:00:00 - 01/01/2025 17:15:00,BZN|NL,4741,4741,2259.81
01/01/2025 17:15:00 - 01/01/2025 17:30:00,BZN|NL,4671,4671,2065.6
01/01/2025 17:30:00 - 01/01/2025 17:45:00,BZN|NL,4558,4558,1905.85
01/01/2025 17:45:00 - 01/01/2025 18:00:00,BZN|NL,4444,4444,1763.13
01/01/2025 18:00:00 - 01/01/2025 18:15:00,BZN|NL,4332,4332,1739.91
01/01/2025 18:15:00 - 01/01/2025 18:30:00,BZN|NL,4187,4187,1815.83
01/01/2025 18:30:00 - 01/01/2025 18:45:00,BZN|NL,4009,4009,1824.29
01/01/2025 18:45:00 - 01/01/2025 19:00:00,BZN|NL,3833,3833,1795.57
01/01/2025 19:00:00 - 01/01/2025 19:15:00,BZN|NL,3658,3658,1821.3
01/01/2025 19:15:00 - 01/01/2025 19:30:00,BZN|NL,3588,3588,1876.59
01/01/2025 19:30:00 - 01/01/2025 19:45:00,BZN|NL,3622,3622,1875.86
01/01/2025 19:45:00 - 01/01/2025 20:00:00,BZN|NL,3658,3658,1959.49
01/01/2025 20:00:00 - 01/01/2025 20:15:00,BZN|NL,3693,3693,1969.04
01/01/2025 20:15:00 - 01/01/2025 20:30:00,BZN|NL,3726,3726,1973.46
01/01/2025 20:30:00 - 01/01/2025 20:45:00,BZN|NL,3758,3758,1993.96
01/01/2025 20:45:00 - 01/01/2025 21:00:00,BZN|NL,3788,3788,2004.23
01/01/2025 21:00:00 - 01/01/2025 21:15:00,BZN|NL,3819,3819,2052.59
01/01/2025 21:15:00 - 01/01/2025 21:30:00,BZN|NL,3847,3847,2073.05
01/01/2025 21:30:00 - 01/01/2025 21:45:00,BZN|NL,3872,3872,2081.8
