MTU (CET/CEST),Area,Day-ahead solar (MW),Intraday solar (MW),Actual solar (MW)
01/01/2025 16:15:00 - 01/01/2025 16:30:00,BZN|NL,47,47,0
01/01/2025 16:30:00 - 01/01/2025 16:45:00,BZN|NL,35,35,0
01/01/2025 16:45:00 - 01/01/2025 17:00:00,BZN|NL,21,21,0
01/01/2025 17:00:00 - 01/01/2025 17:15:00,BZN|NL,9,9,0
01/01/2025 17:15:00 - 01/01/2025 17:30:00,BZN|NL,7,7,0
01/01/2025 17:30:00 - 01/01/2025 17:45:00,BZN|NL,4,4,0
01/01/2025 17:45:00 - 01/01/2025 18:00:00,BZN|NL,1,1,0
01/01/2025 18:00:00 - 01/01/2025 18:15:00,BZN|NL,0,0,0
01/01/2025 18:15:00 - 01/01/2025 18:30:00,BZN|NL,0,0,0
01/01/2025 18:30:00 - 01/01/2025 18:45:00,BZN|NL,0,0,0
01/01/2025 18:45:00 - 01/01/2025 19:00:00,BZN|NL,0,0,0
01/01/2025 19:00:00 - 01/01/2025 19:15:00,BZN|NL,0,0,0
01/01/2025 19:15:00 - 01/01/2025 19:30:00,BZN|NL,0,0,0
01/01/2025 19:30:00 - 01/01/2025 19:45:00,BZN|NL,0,0,0
01/01/2025 19:45:00 - 01/01/2025 20:00:00,BZN|NL,0,0,0
01/01/2025 20:00:00 - 01/01/2025 20:15:00,BZN|NL,0,0,0
01/01/2025 20:15:00 - 01/01/2025 20:30:00,BZN|NL,0,0,0
01/01/2025 20:30:00 - 01/01/2025 20:45:00,BZN|NL,0,0,0
01/01/2025 20:45:00 - 01/01/2025 21:00:00,BZN|NL,0,0,0
01/01/2025 21:00:00 - 01/01/2025 21:15:00,BZN|NL,0,0,0
01/01/2025 21:15:00 - 01/01/2025 21:30:00,BZN|NL,0,0,0
01/01/2025 21:30:00 - 01/01/2025 21:45:00,BZN|NL,0,0,0
01/01/2025 21:45:00 - 01/01/2025 22:00:00,BZN|NL,0,0,0
01/01/2025 22:00:00 - 01/01/2025 22:15:00,BZN|NL,0,0,0
01/01/2025 22:15:00 - 01/01/2025 22:30:00,BZN|NL,0,0,0
01/01/2025 22:30:00 - 01/01/2025 22:45:00,BZN|NL,0,0,0
01/01/2025 22:45:00 - 01/01/2025 23:00:00,BZN|NL,0,0,0
01/01/2025 23:00:00 - 01/01/2025 23:15:00,BZN|NL,0,0,0
01/01/2025 23:15:00 - 01/01/2025 23:30:00,BZN|NL,0,0,0
01/01/2025 23:30:00 - 01/01/2025 23:45:00,BZN|NL,0,0,0
01/01/2025 23:45:00 - 02/01/2025 00:00:00,BZN|NL,0,0,0
